user_id,place_id,rating
105562,P013,4
100255,P018,3
102367,P002,4
103961,P025,0
100977,P018,4
105533,P028,4
108856,P019,1
107724,P003,2
101877,P002,3
105742,P003,1
109526,P018,1
101950,P005,2
101864,P025,1
101375,P027,2
102146,P027,5
107687,P018,3
108622,P017,1
104484,P014,2
108494,P024,0
106751,P015,3
100368,P028,4
101630,P003,5
106356,P019,3
105474,P016,5
103768,P017,2
109319,P004,1
100008,P018,5
103461,P022,2
105448,P007,0
101708,P019,1
109494,P003,2
104995,P023,2
104274,P012,5
104690,P029,0
108537,P027,5
108732,P014,1
102193,P011,5
102068,P030,2
107537,P005,1
105091,P017,3
106192,P022,2
102754,P024,2
109184,P021,0
106256,P009,3
102938,P005,1
108840,P018,2
109339,P002,0
106944,P013,4
102334,P011,0
104108,P010,5
100998,P014,4
106463,P014,2
100414,P021,3
100608,P025,2
102435,P016,4
106253,P017,4
108293,P009,2
107473,P028,0
108193,P010,4
102192,P024,5
107181,P017,4
109155,P017,4
109973,P014,3
108115,P023,0
100220,P018,3
105811,P030,5
108407,P012,2
101457,P029,5
100482,P011,4
102865,P010,3
100538,P011,4
107839,P015,1
109829,P027,0
108620,P023,4
103534,P002,1
109588,P001,1
106794,P018,4
106524,P001,5
100266,P001,5
102722,P012,2
106256,P001,2
109653,P022,0
109853,P006,1
103900,P013,2
104468,P007,4
104307,P019,0
102244,P009,3
103752,P022,3
104148,P024,3
107652,P013,5
101140,P020,4
108818,P022,3
109351,P019,1
106253,P008,2
107221,P009,2
103875,P030,3
103610,P029,4
109478,P015,5
102749,P002,5
100566,P001,2
108193,P013,3
101730,P008,5
109081,P022,2
101897,P020,5
106393,P016,4
103493,P019,0
106052,P019,2
101620,P004,0
106419,P031,3
108774,P011,5
107713,P002,2
105111,P006,5
100536,P016,5
108614,P018,0
101087,P009,5
109617,P012,1
102125,P023,5
109961,P017,0
102031,P016,2
106600,P004,5
101534,P006,5
106607,P030,3
105540,P011,1
103974,P013,5
109500,P022,4
108620,P010,2
107872,P006,1
102683,P019,0
101805,P029,2
102720,P021,5
108399,P027,2
104044,P030,2
103264,P006,1
105597,P023,3
106718,P007,3
101511,P011,5
102121,P027,4
107865,P015,4
105100,P008,1
108310,P017,0
105322,P004,0
105712,P026,0
100369,P008,5
102191,P012,0
100391,P015,5
101424,P006,3
108424,P009,3
108699,P003,4
104763,P030,2
100119,P010,5
105959,P012,3
105348,P024,3
100502,P021,0
106171,P026,1
104365,P025,4
100657,P028,5
102807,P027,0
107567,P021,1
109356,P029,2
105951,P023,4
104805,P004,2
105731,P018,5
109070,P015,2
101409,P026,2
102839,P021,2
104536,P022,3
108403,P025,4
100514,P011,2
100039,P030,2
107042,P019,1
108809,P011,1
104654,P007,1
107922,P012,3
103490,P020,3
107660,P029,5
102336,P003,3
105081,P013,1
102539,P017,3
105187,P019,2
109465,P019,4
108552,P006,5
107343,P016,5
104967,P001,0
108057,P014,2
106854,P026,2
107626,P008,4
109579,P016,0
108609,P003,1
103131,P008,3
106397,P013,2
107923,P002,0
109017,P028,2
107522,P005,3
104600,P019,2
102942,P012,4
104552,P002,1
108436,P013,5
106923,P007,1
109570,P008,5
103023,P029,0
100507,P015,1
105986,P009,1
106759,P014,2
105297,P021,2
106556,P003,3
107502,P021,4
100918,P013,5
109470,P007,3
106017,P024,0
100712,P022,3
102717,P028,2
106915,P017,3
109483,P012,0
101899,P020,0
104319,P031,1
102371,P009,3
107826,P029,5
106511,P028,2
101447,P027,3
105105,P025,2
109186,P019,2
104384,P030,4
106482,P001,3
109853,P012,4
100857,P004,0
108992,P028,4
100298,P008,2
102131,P003,2
105681,P020,1
107661,P003,4
105919,P031,4
105861,P026,0
108630,P004,5
109778,P013,1
109122,P029,5
100048,P019,0
100277,P001,2
109729,P024,1
101240,P014,2
102143,P003,0
100016,P001,1
104473,P022,0
101890,P029,1
100211,P005,2
100235,P023,4
101927,P016,1
104536,P023,0
100171,P005,3
104564,P017,4
100468,P025,4
102059,P023,4
109621,P031,2
103357,P019,3
105228,P004,1
101511,P021,1
109821,P001,1
102775,P003,1
109678,P022,4
107096,P008,4
101578,P019,0
102037,P005,4
101659,P029,0
101141,P014,5
108912,P023,4
107525,P011,1
104838,P017,3
108163,P001,1
107898,P027,3
106469,P001,3
101708,P029,5
109472,P001,0
102025,P008,0
102419,P028,4
108156,P013,4
104952,P030,0
109532,P011,4
102566,P008,5
102921,P026,2
105123,P005,5
108608,P013,1
109670,P017,2
103825,P011,2
109632,P008,1
106661,P022,2
107560,P014,4
109190,P017,2
108393,P007,1
107113,P028,3
105654,P017,1
107641,P019,4
109786,P008,3
104597,P021,0
103811,P010,3
105721,P015,2
105064,P023,3
106044,P011,2
103519,P010,4
102164,P011,0
103094,P025,3
103723,P017,1
103544,P021,0
103913,P006,0
104879,P029,4
109226,P026,0
104778,P028,5
103698,P028,3
103287,P022,0
108846,P024,5
102725,P003,2
105334,P026,5
109767,P027,1
106464,P029,4
101732,P017,5
101931,P001,0
108375,P028,3
100201,P023,5
100430,P027,2
107009,P007,4
109787,P015,1
108288,P002,3
101357,P014,3
100859,P001,4
102341,P027,5
109434,P028,1
109917,P021,3
107152,P030,4
102961,P029,2
101992,P012,2
108360,P014,2
104509,P002,2
107526,P005,3
108068,P007,5
106260,P021,4
101265,P027,1
101208,P010,1
107999,P008,3
100730,P030,2
100757,P021,1
105192,P021,3
100811,P013,5
106988,P010,1
103438,P020,4
106568,P006,5
100378,P022,1
108246,P004,1
108363,P022,0
101227,P021,0
100692,P006,1
106531,P022,1
108401,P028,0
108093,P008,4
104176,P031,1
108481,P008,0
102524,P021,3
101353,P004,3
100765,P017,4
107630,P022,5
100993,P017,0
109627,P011,3
108468,P004,4
102551,P015,4
103998,P019,1
101329,P023,5
109794,P002,2
106900,P004,0
101288,P011,4
107017,P028,5
108590,P009,1
105004,P027,0
105681,P018,2
103330,P024,0
108954,P028,3
104359,P017,1
100972,P015,5
106811,P017,3
109798,P017,1
106195,P030,5
104180,P020,3
107545,P030,2
106824,P010,1
109851,P017,5
109092,P003,2
100433,P031,4
107870,P001,0
109017,P013,1
103296,P004,5
104573,P030,2
101652,P003,4
108873,P016,5
101869,P002,5
103727,P007,5
105395,P022,0
104604,P010,0
102440,P014,4
103835,P014,3
107925,P031,0
106802,P001,1
103346,P025,5
100883,P012,2
105218,P028,0
102242,P015,4
100478,P006,4
100557,P006,5
100931,P027,0
108721,P002,5
107292,P031,3
103164,P007,4
107370,P023,2
109816,P017,4
101090,P008,2
108513,P026,3
101901,P009,2
102190,P027,4
102569,P009,4
102480,P027,3
106392,P005,2
104944,P007,4
103390,P011,5
101418,P004,0
105003,P024,4
102453,P026,2
105781,P017,5
102870,P014,0
100657,P022,1
107414,P012,1
105328,P001,1
105437,P028,2
101218,P025,1
108770,P020,0
104078,P016,4
104814,P025,5
103474,P005,1
108059,P025,2
105216,P016,1
106896,P029,3
102701,P026,3
101264,P009,0
107189,P004,2
103698,P023,5
104423,P020,4
106081,P025,5
100474,P011,3
104009,P020,5
103573,P006,5
101168,P011,5
108124,P016,1
106260,P016,0
101207,P016,2
109303,P007,0
106299,P006,0
103189,P006,5
104506,P014,0
104551,P011,2
105335,P028,3
102601,P024,5
109201,P029,1
101599,P030,5
108245,P015,1
101434,P031,2
102494,P017,2
102795,P013,3
105091,P030,3
100438,P020,5
107656,P008,4
104404,P026,4
100125,P029,0
105550,P016,4
103964,P024,0
106068,P021,1
