user_id,place_id,rating,unique_id
106452,P099,3,P099
109563,P101,4,P101
102396,P089,0,P089
109390,P102,1,P102
102515,P093,1,P093
106421,P097,5,P097
105676,P084,5,P084
101128,P089,5,P103
100943,P103,2,P094
105821,P094,3,P096
109731,P093,2,P086
105816,P094,1,P095
101867,P096,5,P100
102853,P086,1,P091
109509,P094,1,P087
106743,P099,1,P090
107426,P099,3,P098
100095,P095,3,P085
105832,P103,4,P092
109259,P100,5,P088
108225,P095,2,
106360,P086,1,
101612,P091,3,
107647,P084,1,
105841,P100,3,
102188,P087,1,
107695,P089,4,
103931,P090,4,
103016,P098,4,
105879,P094,1,
104736,P090,0,
104464,P102,3,
108929,P091,0,
100025,P096,2,
100701,P095,4,
102947,P090,0,
102166,P101,5,
106426,P100,5,
107216,P090,4,
106981,P084,2,
106345,P101,1,
103770,P091,4,
106974,P099,2,
104004,P085,3,
100168,P099,3,
104608,P093,5,
108675,P092,3,
106550,P084,2,
108634,P089,0,
108346,P091,3,
101081,P096,3,
109262,P090,5,
109899,P095,3,
104679,P090,0,
100473,P090,4,
104566,P092,1,
109116,P086,5,
103792,P098,3,
106084,P086,1,
104371,P088,2,
103611,P086,3,
109641,P094,2,
101702,P094,0,
105013,P099,3,
106591,P093,1,
100708,P084,2,
106239,P089,3,
103220,P089,5,
107566,P095,2,
101037,P094,5,
101191,P089,1,
101027,P103,3,
104501,P094,1,
106620,P086,2,
103645,P085,2,
109467,P101,5,
101772,P090,4,
105462,P094,5,
109760,P099,3,
105572,P087,3,
108284,P096,5,
103928,P090,1,
103808,P097,0,
105110,P097,4,
104807,P099,1,
109839,P091,2,
101780,P088,0,
101532,P092,0,
104531,P100,1,
104493,P091,5,
100368,P091,5,
104748,P096,0,
105466,P088,1,
105678,P091,3,
102195,P103,4,
108207,P084,2,
108013,P097,0,
108570,P093,2,
108693,P100,1,
108393,P093,2,
108145,P091,4,
101086,P098,4,
107925,P089,2,
108752,P085,2,
102558,P093,2,
108073,P101,2,
109249,P089,3,
104421,P093,1,
103415,P085,1,
100869,P085,4,
105413,P103,3,
107024,P092,2,
103548,P099,5,
108610,P103,3,
107490,P088,3,
103389,P087,4,
107015,P097,0,
103098,P093,2,
109878,P091,4,
108374,P101,4,
104799,P100,0,
103013,P096,4,
108939,P091,5,
109668,P091,0,
108266,P090,1,
100140,P089,1,
102563,P092,5,
107603,P095,5,
104304,P098,0,
109676,P098,0,
106957,P093,0,
102565,P100,2,
100427,P094,3,
101052,P101,1,
101114,P093,5,
104245,P086,1,
107276,P099,3,
108179,P088,4,
103911,P098,4,
108141,P087,3,
106258,P097,3,
102442,P089,5,
109441,P097,3,
102045,P100,1,
100074,P087,0,
109486,P085,3,
104134,P088,0,
105535,P084,5,
109346,P089,2,
103006,P090,3,
109813,P101,1,
103414,P098,0,
104261,P093,4,
100023,P097,5,
103622,P098,0,
108937,P088,4,
102893,P103,5,
106020,P097,1,
101157,P092,0,
108195,P095,5,
107208,P088,1,
102633,P089,4,
109081,P085,1,
105934,P088,0,
100499,P088,2,
107658,P086,3,
107447,P094,0,
100004,P100,4,
103065,P101,2,
106378,P103,2,
109047,P097,2,
103646,P099,0,
104870,P092,2,
103093,P095,3,
109598,P096,0,
102334,P086,0,
101946,P093,5,
101788,P089,5,
104426,P102,2,
102131,P099,3,
107451,P101,3,
105571,P093,2,
103390,P098,3,
105628,P086,5,
101352,P086,5,
105193,P101,1,
109037,P102,4,
105891,P091,5,
109314,P100,3,
105725,P101,1,
102474,P098,2,
109260,P084,0,
105270,P085,5,
104038,P103,4,
104809,P085,1,
103734,P087,2,
107150,P088,1,
105411,P089,1,
103694,P097,0,
102114,P088,2,
102600,P098,4,
108347,P097,1,
103192,P091,3,
107557,P091,0,
101019,P092,3,
105988,P093,2,
107755,P099,5,
103862,P085,3,
107275,P089,2,
100179,P092,4,
107696,P091,3,
103869,P094,5,
106545,P098,4,
105558,P103,1,
104379,P099,5,
103463,P088,3,
102892,P096,1,
103417,P085,0,
107170,P091,4,
104673,P084,1,
103041,P095,3,
108185,P100,3,
105356,P098,5,
101051,P089,0,
104828,P084,1,
106699,P085,1,
103924,P089,0,
101256,P103,0,
101876,P086,2,
102723,P093,0,
106897,P094,3,
109661,P097,1,
109964,P102,3,
103308,P098,5,
108256,P091,1,
100565,P091,3,
103070,P085,4,
104914,P101,5,
104995,P099,4,
102343,P102,5,
104733,P100,1,
107656,P093,0,
109345,P099,2,
109528,P099,3,
103006,P101,2,
109079,P089,4,
105683,P087,5,
100343,P087,1,
107915,P088,3,
108169,P096,5,
100086,P097,4,
108539,P086,0,
101168,P091,1,
107515,P101,5,
109989,P093,4,
103591,P092,5,
101148,P101,0,
101337,P090,1,
101627,P093,2,
106381,P095,0,
106497,P100,1,
106091,P102,4,
103143,P097,4,
106647,P084,4,
107361,P102,2,
107237,P089,2,
100638,P100,1,
104426,P101,0,
106986,P092,4,
107719,P084,0,
106391,P092,0,
101906,P103,2,
108449,P103,3,
106779,P097,3,
107049,P097,2,
103628,P090,2,
109010,P085,0,
107546,P095,1,
103148,P088,4,
106607,P095,2,
109733,P098,1,
101851,P085,0,
102919,P085,0,
107444,P085,0,
106683,P100,4,
106999,P091,0,
103798,P097,2,
102156,P101,0,
107436,P095,2,
108166,P093,1,
103358,P101,4,
108679,P086,1,
108613,P100,1,
102451,P091,3,
109550,P091,4,
105627,P102,1,
109587,P098,4,
105801,P103,5,
106722,P096,1,
109291,P089,0,
107749,P084,4,
107153,P100,2,
100875,P087,0,
108345,P091,3,
103033,P098,0,
103372,P087,4,
107038,P089,5,
108275,P084,4,
106413,P092,3,
102075,P096,2,
106861,P089,4,
107186,P086,1,
103005,P097,2,
107140,P088,4,
107594,P103,0,
107384,P085,2,
104095,P084,4,
107291,P089,4,
105908,P093,4,
107306,P094,5,
103460,P097,2,
102292,P092,3,
103339,P095,1,
109962,P103,5,
109058,P092,2,
103281,P087,3,
102985,P102,5,
107769,P090,4,
103575,P099,3,
103444,P087,4,
108075,P091,0,
109258,P093,4,
106913,P096,0,
102419,P094,1,
103942,P096,4,
100300,P094,2,
107750,P095,2,
100001,P102,1,
108945,P092,4,
100399,P098,1,
108155,P096,3,
101642,P086,5,
102864,P101,0,
109935,P095,5,
102987,P102,2,
109901,P097,2,
102840,P100,2,
109350,P097,3,
105493,P101,2,
102373,P092,2,
101709,P089,0,
101319,P099,0,
109505,P087,3,
103320,P087,5,
103394,P097,3,
102675,P086,0,
101808,P101,0,
105040,P093,5,
107679,P091,1,
105100,P094,4,
106078,P087,0,
108829,P095,0,
108576,P085,1,
107561,P085,0,
102437,P086,5,
100069,P097,0,
105088,P098,4,
106287,P102,2,
104929,P088,4,
105458,P101,4,
102391,P092,1,
105749,P086,0,
107589,P101,5,
106156,P094,1,
103401,P094,4,
102504,P097,2,
100904,P093,0,
101413,P103,1,
101788,P102,0,
104438,P086,4,
102518,P087,2,
104186,P099,2,
107103,P097,3,
102276,P090,0,
109759,P093,5,
105077,P087,3,
100989,P084,5,
102323,P100,2,
103788,P092,3,
101566,P097,3,
107214,P093,1,
108912,P090,2,
107715,P086,1,
108763,P085,5,
101263,P086,2,
105706,P103,1,
103685,P088,0,
107306,P091,1,
109787,P096,5,
102736,P097,2,
101557,P089,3,
109559,P102,2,
102342,P101,1,
102943,P092,0,
100205,P097,5,
103133,P087,0,
107191,P101,1,
100572,P094,0,
104136,P089,5,
108052,P091,5,
100219,P097,5,
109648,P098,0,
104452,P091,3,
109747,P089,5,
107473,P095,0,
102336,P098,5,
103489,P099,4,
107957,P101,4,
100106,P102,0,
105353,P092,4,
109802,P094,4,
104787,P093,0,
101505,P098,3,
108813,P085,2,
104680,P094,4,
103392,P100,3,
101355,P088,2,
104463,P095,4,
108520,P100,2,
108817,P093,5,
102256,P092,5,
104993,P091,4,
101199,P103,5,
109378,P097,1,
103594,P096,3,
102280,P085,5,
101522,P092,1,
106524,P094,2,
105281,P096,5,
107705,P099,4,
103052,P094,4,
102123,P096,5,
108265,P095,1,
101541,P099,1,
109603,P085,4,
104701,P090,5,
109628,P100,2,
108650,P100,4,
102882,P101,4,
105075,P092,0,
100978,P098,3,
107829,P099,5,
101727,P085,5,
107911,P098,5,
109208,P088,1,
109717,P100,4,
108152,P087,1,
106906,P094,0,
106384,P095,0,
104865,P088,1,
104456,P097,4,
104890,P092,2,
107436,P086,5,
106473,P096,0,
107224,P099,5,
103062,P087,0,
106587,P086,4,
104239,P099,3,
102516,P096,1,
109850,P103,2,
105853,P100,5,
109682,P102,2,
107515,P101,3,
103167,P103,2,
100404,P102,4,
103772,P097,0,
104034,P094,2,
